Wall time,Step,Value
1556367938.2154458,1255520,6.724999904632568
1556367939.9727697,1255642,6.494999885559082
1556367988.9554036,1259027,6.010000228881836
1556368068.2020426,1264492,5.800000190734863
1556368130.088764,1268746,5.650000095367432
1556368289.3265543,1279755,6.135000228881836
1556368324.3358092,1282172,6.289999961853027
1556368336.5888784,1283017,6.449999809265137
1556368385.0128307,1286362,5.974999904632568
1556368487.2214293,1293427,5.71999979019165
1556369090.9895952,1334945,8.024999618530273
1556369109.035638,1336193,7.670000076293945
1556369350.1058283,1352852,7.71999979019165
1556369442.1501675,1359157,7.349999904632568
1556369472.753442,1361259,6.889999866485596
1556369584.263225,1368944,7.164999961853027
1556369825.777687,1385542,8.600000381469727
1556369955.6407328,1394439,9.5649995803833
1556370159.386937,1408466,8.975000381469727
1556370277.2933047,1416614,8.545000076293945
1556370403.070922,1425251,8.145000457763672
1556370813.3304157,1453583,8.46500015258789
1556370934.0916471,1461900,8.40999984741211
1556370955.844697,1463386,8.34000015258789
1556371205.2275994,1480491,8.359999656677246
1556371358.300186,1491062,8.899999618530273
1556371468.2584267,1498660,8.505000114440918
1556371484.1121585,1499755,8.454999923706055
1556371516.902622,1502018,8.770000457763672
1556371871.007819,1526403,9.265000343322754
1556371879.8517468,1527015,9.130000114440918
1556371987.645711,1534426,9.510000228881836
1556372024.995702,1536980,9.875
1556372252.0781868,1552512,10.720000267028809
1556372374.3075178,1560905,10.555000305175781
1556372490.0074816,1568852,9.704999923706055
1556372729.981997,1585345,9.204999923706055
1556373205.2803342,1618071,9.03499984741211
1556373215.3672066,1618760,9.0649995803833
1556373431.0568182,1633551,9.329999923706055
1556373531.7815077,1640439,9.664999961853027
1556373541.1073713,1641080,9.824999809265137
1556373615.9203007,1646229,9.710000038146973
1556373643.217583,1648109,9.854999542236328
1556373856.7735934,1662779,10.050000190734863
1556373880.6752896,1664424,10.104999542236328
1556374105.3123062,1679804,10.609999656677246
1556374769.673854,1725355,10.444999694824219
1556374796.662255,1727204,10.324999809265137
1556374909.0434568,1734920,10.494999885559082
1556375135.644783,1750461,11.399999618530273
1556375259.6580489,1758938,11.84000015258789
1556375517.7403343,1776538,11.40999984741211
1556375526.7281497,1777146,11.199999809265137
1556375603.9231431,1782380,11.645000457763672
1556375743.053349,1791939,12.869999885559082
1556376052.9541786,1812954,12.244999885559082
1556376085.2786288,1815017,12.220000267028809
1556376139.81959,1818446,12.305000305175781
1556376399.9156833,1834702,12.045000076293945
1556376528.0656402,1842790,12.40999984741211
1556376622.6558275,1848693,12.28499984741211
1556376691.7715583,1853073,11.944999694824219
1556376987.8363898,1872538,13.475000381469727
1556377298.151087,1893289,14.739999771118164
1556377563.024309,1910726,15.229999542236328
1556377830.003761,1928290,16.18000030517578
1556378202.886458,1952551,17.190000534057617
1556378316.1253657,1960009,16.145000457763672
1556378655.9159899,1982251,14.40999984741211
1556379119.9788687,2012283,16.075000762939453
1556379147.5487027,2014172,15.164999961853027
1556379625.1729922,2046789,15.46500015258789
1556379633.5249228,2047361,15.21500015258789
1556379709.9177196,2052597,14.494999885559082
1556379968.3756816,2070145,15.40999984741211
1556380016.352018,2073420,15.1899995803833
1556380030.2699416,2074367,15.225000381469727
1556380151.7068398,2082679,15.604999542236328
1556380512.9320085,2107422,15.0
1556380591.8074853,2112780,15.350000381469727
1556380646.5754454,2116516,16.149999618530273
1556380714.2457004,2121160,15.869999885559082
1556380788.8491561,2126265,15.494999885559082
1556380941.2904396,2136724,14.385000228881836
1556381130.8155115,2149591,14.239999771118164
1556381136.982496,2150012,14.630000114440918
1556381220.104242,2155699,14.640000343322754
1556381371.670378,2165796,14.600000381469727
1556381476.569352,2172722,13.854999542236328
1556381520.4477334,2175480,14.180000305175781
1556381594.261921,2180056,14.6850004196167
1556381757.9856744,2190835,15.005000114440918
1556381770.7734196,2191688,14.984999656677246
